folio,proveedor,cliente,vehiculo,destino,fecha_envio,hora_carga,prioridad,precio_flete,importe_otros,importe_agregados,importe_total,flete,maniobras_y_otros,mes
E001386,SDL,GUADALUPE Salloum,Torthon,Centro CDM,2026-01-16,17:00,2,8780,18200,0,26980,8780,18200,ene
E001388,Albornos,LA PALESTINA,Torton,Toluca,2026-01-19,15:00,4,13200,4400,0,17600,13200,4400,ene
E001390,Albornos,Viaje Local,Camioneta,Puebla,2026-01-19,12:00,3,4000,4000,0,8000,4000,4000,ene
E001391,Express,Varios,Camioneta,Puebla,2026-01-19,12:30,4,1600,0,0,1600,1600,0,ene
E001392,Albornos,Casa Ley,Camioneta,Culiacan,2026-01-19,14:00,5,60000,0,0,60000,60000,0,ene
E001393,SDL,Walmart,Torthon,Sta Barbar,2026-01-19,16:00,6,8789,9960,0,18749,8789,9960,ene
E001396,SDL,Muestras,Automovil,Of Mex,2026-01-19,15:00,5,500,0,0,500,500,0,ene
E001397,Albornos,Higienica Textil,Torton,Naucalpan,2026-01-20,08:00,1,8800,4400,0,13200,8800,4400,ene
E001399,Albornos,OPERADORA FUTURAMA,Camioneta,Iztapalapa,2026-01-21,12:00,2,7370,2200,0,9570,7370,2200,ene
E001400,Albornos,Chedraui,Camioneta,Zumpango,2026-01-21,14:00,3,7370,0,0,7370,7370,0,ene
E001401,SDL,WALMART,Torthon,CHALCO,2026-01-20,14:00,2,8800,20500,0,29300,8800,20500,ene
E001402,SDL,Walmart,Torthon,Cuautitlan,2026-01-21,09:00,1,8780,2000,0,10780,8780,2000,ene
E001404,Gonzalez,LA PALESTINA,Trailer,Toluca,2026-01-22,13:00,1,15000,4400,0,19400,15000,4400,ene
E001407,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-23,08:00,1,12000,0,0,12000,12000,0,ene
E001408,Albornos,Castelog,Trailer,Bajio,2026-01-22,17:00,2,27200,5500,0,32700,27200,5500,ene
E001409,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-23,15:00,3,12000,0,0,12000,12000,0,ene
E001410,SDL,Walmart,Camioneta,Cuautitlan,2026-01-23,13:00,2,7460,2500,0,9960,7460,2500,ene
E001412,Albornos,Soriana,Torton,Queretaro,2026-01-24,13:00,4,12100,0,0,12100,12100,0,ene
E001413,Albornos,Soriana,Camioneta,Tultitlan,2026-01-24,10:00,2,7370,2200,0,9570,7370,2200,ene
E001414,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-24,15:00,5,12000,0,0,12000,12000,0,ene
E001415,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-24,18:00,6,12000,0,0,12000,12000,0,ene
E001416,SDL,Walmart,Torthon,Cuautitlan,2026-01-24,11:00,3,8780,11600,0,20380,8780,11600,ene
E001418,Express,Varios,Camioneta,Puebla,2026-01-26,11:00,1,6000,3000,0,9000,6000,3000,ene
E001419,Gonzalez,Higienica Textil,Torton,Naucalpan,2026-01-24,14:00,1,9500,0,4500,14000,9500,4500,ene
E001420,SDL,Walmart,Torthon,Cuautitlan,2026-01-26,15:00,2,8780,15300,0,24080,8780,15300,ene
E001421,Albornos,OPERADORA FUTURAMA,Camioneta,Iztapalapa,2026-01-27,10:00,1,7370,2200,0,9570,7370,2200,ene
E001423,Albornos,Suburbia,Torton,Jilotepec,2026-01-27,17:00,3,11000,0,0,11000,11000,0,ene
E001425,Gonzalez,LA PALESTINA,Trailer,Toluca,2026-01-28,09:00,1,15000,7700,0,22700,15000,7700,ene
E001426,SDL,Suburbia,Torthon,Jilotepec,2026-01-27,15:00,0,12000,5636,0,17636,12000,5636,ene
E001427,Albornos,Liverpool,Camioneta,Jilotepec,2026-01-29,15:00,1,10000,0,0,10000,10000,0,ene
E001429,Propios,Towell,Propios,Towell,2026-01-29,01:00,3,1,0,0,0,1,0,ene
E001431,Albornos,City Fresko,Camioneta,Vallejo,2026-01-30,10:00,1,7370,0,0,7370,7370,0,ene
E001432,Albornos,Casa Ley,1.5 Camion,Culiacan,2026-01-30,12:00,2,37400,0,0,37400,37400,0,ene
E001434,Gonzalez,Chedraui,Trailer,Zumpango,2026-01-31,08:00,1,12000,0,0,12000,12000,0,ene
E001435,Albornos,Suburbia,Camioneta,Jilotepec,2026-01-31,12:00,3,10000,0,0,10000,10000,0,ene
E001437,Albornos,GUADALUPE Salloum,Torton,Centro CDM,2026-01-29,12:00,1,8800,5500,0,14300,8800,5500,ene
E001438,Fletexpress,Hoteleria QRoo,Consolidad,QuintanaRo,2026-01-31,14:00,4,106201,0,0,106201,106201,0,ene
E001440,SDL,OPERADORA FUTURAMA,Torthon,Iztapalapa,2026-01-31,08:00,1,8800,11060,0,19860,8800,11060,ene
E001441,Express,Walmart,Torthon,Peñon de l,2026-02-03,15:00,2,9000,1600,0,10600,9000,1600,feb
E001442,SDL,Walmart,Camioneta,Cuautitlan,2026-02-03,11:00,1,7460,1200,0,8660,7460,1200,feb
E001443,SDL,Walmart,Torthon,Cuautitlan,2026-02-04,16:00,3,8780,11700,0,20480,8780,11700,feb
E001444,Albornos,Soriana,Camioneta,Tultitlan,2026-02-04,09:00,1,7370,1100,0,8470,7370,1100,feb
E001445,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-04,11:00,2,12000,0,0,12000,12000,0,feb
E001446,SDL,Muestras,Automovil,Of Mex,2026-02-03,11:00,2,500,0,0,500,500,0,feb
E001448,Albornos,Avon,Camioneta,Celaya,2026-02-04,08:00,4,12000,3000,0,15000,12000,3000,feb
E001449,SDL,Walmart,Torthon,Cuautitlan,2026-02-05,13:00,3,8780,6236,0,15016,8780,6236,feb
E001450,Gonzalez,Dart,Trailer,Toluca,2026-02-05,08:00,1,15000,6600,0,21600,15000,6600,feb
E001451,Albornos,Liverpool,Camioneta,Jilotepec,2026-02-05,15:00,4,10000,0,0,10000,10000,0,feb
E001452,Albornos,Soriana,Torton,Queretaro,2026-02-05,10:00,2,12100,0,0,12100,12100,0,feb
E001454,SDL,Muestras Torrubio,Camioneta,Chimalhuac,2026-02-04,16:00,5,3136,0,0,3136,3136,0,feb
E001455,SDL,Parisina,Torthon,Toluca,2026-02-06,15:00,1,11200,1500,0,12700,11200,1500,feb
E001456,SDL,Walmart,Camioneta,Cuautitlan,2026-02-07,13:00,2,7460,6460,0,13920,7460,6460,feb
E001457,Albornos,Higienica Textil,Torton,Naucalpan,2026-02-07,12:00,1,8800,4400,0,13200,8800,4400,feb
E001458,Gonzalez,Walmart,Trailer,Cuautitlan,2026-02-09,09:00,1,15000,2000,0,17000,15000,2000,feb
E001459,Albornos,Avon,Camioneta,Celaya,2026-02-09,11:00,2,22000,4000,0,26000,22000,4000,feb
E001461,SDL,DSW,Torthon,Tultitlan,2026-02-09,14:00,3,8789,2500,0,11289,8789,2500,feb
E001463,Albornos,Walmart,Torton,Cuautitlan,2026-02-10,12:00,3,8800,1600,0,10400,8800,1600,feb
E001464,Portia,Scentia Perfumeria,Trailer Ex,Chiapas,2026-02-10,08:00,1,70000,0,0,70000,70000,0,feb
E001465,SDL,Walmart,Torthon,Cuautitlan,2026-02-11,13:00,1,8780,21960,0,30740,8780,21960,feb
E001466,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-11,14:00,2,12000,0,0,12000,12000,0,feb
E001467,SDL,WALMART,Torthon,CHALCO,2026-02-10,14:00,3,8800,1600,0,10400,8800,1600,feb
E001468,Gonzalez,HEB,Trailer,Cuautitlan,2026-02-12,09:00,1,15000,5500,0,20500,15000,5500,feb
E001469,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-12,17:00,2,12000,0,0,12000,12000,0,feb
E001470,SDL,Parisina,Camioneta,Toluca,2026-02-13,14:00,1,7770,2000,0,9770,7770,2000,feb
E001471,Albornos,Soriana,Torton,Queretaro,2026-02-14,13:00,3,12100,0,0,12100,12100,0,feb
E001472,Albornos,Soriana,Camioneta,Tultitlan,2026-02-14,13:30,4,7370,2200,0,9570,7370,2200,feb
E001473,SDL,Suburbia,Camioneta,Jilotepec,2026-02-14,15:00,5,10000,0,0,10000,10000,0,feb
E001474,SDL,Walmart,Torthon,Cuautitlan,2026-02-14,16:00,6,8780,5400,0,14180,8780,5400,feb
E001476,AVON GT,AVON,Propios,GUATEMALA,2026-02-14,08:00,1,1,0,0,0,1,0,feb
E001477,AVON GT,AVON,Propios,GUATEMALA,2026-02-14,11:00,2,1,0,0,0,1,0,feb
E001478,Albornos,City Fresko,Camioneta,Vallejo,2026-02-16,10:00,1,7370,0,0,7370,7370,0,feb
E001480,SDL,Walmart,Camioneta,Cuautitlan,2026-02-16,12:00,2,7460,3700,0,11160,7460,3700,feb
E001481,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-17,11:00,1,12000,0,0,12000,12000,0,feb
E001484,Gonzalez,LA PALESTINA,Trailer,Toluca,2026-02-16,13:00,2,15000,7700,0,22700,15000,7700,feb
E001485,Albornos,LA PALESTINA,Torton,Toluca,2026-02-17,16:00,2,13200,4400,0,17600,13200,4400,feb
E001486,SDL,WALMART,Torthon,CHALCO,2026-02-18,12:00,1,8800,14660,0,23460,8800,14660,feb
E001487,AVON GT,AVON,Propios,GUATEMALA,2026-02-18,16:00,2,1,0,0,0,1,0,feb
E001488,Propios,Towell,Propios,Towell,2026-02-19,11:00,1,1,0,0,0,1,0,feb
E001489,SDL,Walmart,Torthon,Cuautitlan,2026-02-19,13:00,2,8780,9700,0,18480,8780,9700,feb
E001490,Albornos,Suburbia,Camioneta,Jilotepec,2026-02-20,08:00,1,10000,0,0,10000,10000,0,feb
E001492,SDL,Parisina,Torthon,Toluca,2026-02-20,14:00,2,11200,1600,0,12800,11200,1600,feb
E001493,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-21,18:00,5,12000,0,0,12000,12000,0,feb
E001494,Albornos,GUADALUPE Salloum,Torton,Centro CDM,2026-02-20,14:00,3,8800,5500,0,14300,8800,5500,feb
E001495,Albornos,Soriana,Torton,Queretaro,2026-02-21,11:00,2,12100,0,0,12100,12100,0,feb
E001496,Gonzalez,Walmart,Trailer,Cuautitlan,2026-02-21,10:00,1,15000,4200,0,19200,15000,4200,feb
E001498,Albornos,DSW,Camioneta,Tultitlan,2026-02-23,09:00,2,7370,0,0,7370,7370,0,feb
E001499,Albornos,Suburbia,Torton,Jilotepec,2026-02-23,08:00,1,11000,0,0,11000,11000,0,feb
E001500,Albornos,Walmart,Camioneta,Cuautitlan,2026-02-23,10:00,3,7370,4900,0,12270,7370,4900,feb
E001501,Gonzalez,Higienica Textil,Torton,Naucalpan,2026-02-23,12:00,4,9500,4400,0,13900,9500,4400,feb
E001502,Gonzalez,Walmart,Torton,Cuautitlan,2026-02-23,14:00,5,12000,3500,0,15500,12000,3500,feb
E001504,Paqmex,Merco,Paqueteria,Apodaca,2026-02-24,11:00,3,5722.19,0,0,5722.19,5722.19,0,feb
E001505,Albornos,Soriana,Camioneta,Tultitlan,2026-02-24,10:00,2,7370,2200,0,9570,7370,2200,feb
E001506,Albornos,Walmart,Camioneta,Cuautitlan,2026-02-24,09:00,1,7370,2800,0,10170,7370,2800,feb
E001507,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-24,12:00,4,12000,0,0,12000,12000,0,feb
E001509,Albornos,Walmart,Torton,Chalco,2026-02-24,15:00,5,8800,3500,0,12300,8800,3500,feb
E001510,Propios,Towell,Propios,Towell,2026-02-23,17:00,7,1,0,0,0,1,0,feb
E001511,Fletexpress,Hoteleria QRoo,Consolidad,QuintanaRo,2026-02-23,17:00,6,90001,0,0,90001,90001,0,feb
E001512,Express,Varios,Camioneta,Puebla,2026-02-24,07:00,7,1600,600,5721.19,7921.19,1600,6321.19,feb
E001513,Albornos,OPERADORA FUTURAMA,Camioneta,Iztapalapa,2026-02-25,09:00,1,7370,1100,0,8470,7370,1100,feb
E001514,Albornos,Liverpool,Torton,Jilotepec,2026-02-25,15:00,5,11000,0,0,11000,11000,0,feb
E001515,Albornos,Liverpool,Camioneta,Jilotepec,2026-02-26,08:00,1,8000,0,0,8000,8000,0,feb
E001516,Gonzalez,Walmart,Torton,Cuautitlan,2026-02-25,12:00,3,12000,3500,0,15500,12000,3500,feb
E001517,Gonzalez,Walmart,Trailer,Cuautitlan,2026-02-25,13:00,4,15000,3500,0,18500,15000,3500,feb
E001518,AVON GT,AVON,Propios,GUATEMALA,2026-02-25,17:00,6,1,0,0,0,1,0,feb
E001519,Gonzalez,Walmart,Camioneta,Sta Barbar,2026-02-25,11:00,2,8000,2800,0,10800,8000,2800,feb
E001520,Gonzalez,Suburbia,Torthon,Jilotepec,2026-02-26,15:00,1,13000,0,0,13000,13000,0,feb
E001521,Albornos,Suburbia,Camioneta,Jilotepec,2026-02-26,15:00,1,10000,0,0,10000,10000,0,feb
E001522,Albornos,DSW,Camioneta,Tultitlan,2026-02-26,15:00,1,7370,0,0,7370,7370,0,feb
E001523,Albornos,City Fresko,Camioneta,Vallejo,2026-02-25,15:00,1,7370,0,0,7370,7370,0,feb
E001524,Gonzalez,Chedraui,Trailer,Zumpango,2026-02-24,18:00,7,12000,0,0,12000,12000,0,feb
E001525,Express,Varios,Camioneta,Puebla,2026-02-26,14:30,6,2000,1000,0,3000,2000,1000,feb
E001526,Gonzalez,Dart,Trailer,Toluca,2026-02-26,17:00,6,15000,6600,0,21600,15000,6600,feb
E001527,Express,Varios,Camioneta,Puebla,2026-02-27,10:30,1,6000,3000,0,9000,6000,3000,feb
E001530,Albornos,Walmart,Camioneta,Cuautitlan,2026-02-28,12:00,4,7370,3500,0,10870,7370,3500,feb
E001531,Albornos,Casa Ley,1.5 Camion,Culiacan,2026-02-28,11:00,3,37400,0,0,37400,37400,0,feb
E001532,Gonzalez,Higienica Textil,Trailer,Naucalpan,2026-02-27,18:00,2,15000,5625,0,20625,15000,5625,feb
E001533,AVON GT,AVON,Propios,GUATEMALA,2026-02-28,08:00,1,1,0,0,0,1,0,feb
E001534,Albornos,GUADALUPE Salloum,Torton,Centro CDM,2026-02-28,10:00,1,8800,6000,0,14800,8800,6000,feb
E001535,Albornos,DSW,Camioneta,Tultitlan,2026-03-02,14:00,3,7370,0,0,7370,7370,0,mar
E001536,EA,Walmart,Camioneta,Cuautitlan,2026-03-02,15:00,4,7700,2800,0,10500,7700,2800,mar
E001537,Express,Varios,Camioneta,Puebla,2026-03-02,10:30,2,2000,1000,0,3000,2000,1000,mar
E001538,Gonzalez,Prod. Max,Torthon,Iztapalapa,2026-03-01,10:00,1,9500,4400,13900,27800,9500,18300,mar
E001539,Gonzalez,Walmart,Trailer,Cuautitlan,2026-02-28,14:00,3,15000,3500,0,18500,15000,3500,feb
E001540,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-03,10:00,1,12000,0,0,12000,12000,0,mar
E001541,Albornos,Walmart,Camioneta,Chalco,2026-03-03,12:00,2,7370,3500,0,10870,7370,3500,mar
E001542,Albornos,Walmart,Camioneta,Cuautitlan,2026-03-03,13:00,3,7370,3500,0,10870,7370,3500,mar
E001543,EA,Walmart,Cmaioneta,Sta Barbar,2026-03-03,14:00,4,7370,2800,0,10170,7370,2800,mar
E001544,Gonzalez,GUADALUPE Salloum,Torton,CDMX,2026-03-02,02:00,4,8000,7000,0,15000,8000,7000,mar
E001545,Albornos,Walmart,Camioneta,Chalco,2026-03-04,10:00,1,7370,2800,0,10170,7370,2800,mar
E001546,EA,Walmart,Camioneta,Sta Barbar,2026-03-04,13:00,3,8000,3500,0,11500,8000,3500,mar
E001547,Albornos,Suburbia,Camioneta,Jilotepec,2026-03-04,14:00,3,8000,0,0,8000,8000,0,mar
E001548,Albornos,Productora Max,Torton,Iztapalapa,2026-03-04,13:00,4,8800,4400,0,13200,8800,4400,mar
E001549,Gonzalez,LA PALESTINA,Trailer,Toluca,2026-03-05,12:00,3,15000,7700,0,22700,15000,7700,mar
E001550,Gonzalez,Chedraui,Camioneta,Zumpango,2026-03-05,09:00,1,8000,0,0,8000,8000,0,mar
E001551,EA,Walmart,Camioneta,Sta Barbar,2026-03-05,10:00,2,7370,12970,0,20340,7370,12970,mar
E001552,Albornos,Suburbia,Camioneta,Jilotepec,2026-03-05,12:00,4,10000,0,0,10000,10000,0,mar
E001553,Fletexpress,Hoteleria QRoo,Consolidad,QuintanaRo,2026-03-05,15:00,5,35001,0,0,35001,35001,0,mar
E001554,Albornos,HEB,Camioneta,Cuautitlan,2026-03-04,18:00,6,7370,2200,0,9570,7370,2200,mar
E001555,EA,Parisina,Camioneta,Toluca,2026-03-06,14:00,3,10500,4400,0,14900,10500,4400,mar
E001556,Albornos,Walmart,Torton,Chalco,2026-03-06,12:00,1,8800,3500,0,12300,8800,3500,mar
E001557,Albornos,Walmart,Camioneta,Sta Barbar,2026-03-06,15:00,3,7370,3500,0,10870,7370,3500,mar
E001558,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-06,18:00,4,12000,0,0,12000,12000,0,mar
E001559,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-07,13:00,4,12000,0,0,12000,12000,0,mar
E001560,Gonzalez,Walmart,Trailer,Cuautitlan,2026-03-07,12:00,3,15000,4200,0,19200,15000,4200,mar
E001561,Albornos,Walmart,Camioneta,Sta Barbar,2026-03-07,09:00,1,7370,3500,0,10870,7370,3500,mar
E001562,Albornos,Soriana,Torton,Queretaro,2026-03-07,10:00,2,15000,0,0,15000,15000,0,mar
E001563,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-07,18:00,5,12000,0,0,12000,12000,0,mar
E001564,Albornos,DSW,Camioneta,Tultitlan,2026-03-09,11:00,2,7370,0,0,7370,7370,0,mar
E001565,EA,Suburbia,Camioneta,Jilotepec,2026-03-09,12:00,5,9500,0,0,9500,9500,0,mar
E001566,Albornos,Soriana,Camioneta,Tultitlan,2026-03-09,09:00,1,7370,2200,0,9570,7370,2200,mar
E001567,Albornos,Walmart,Camioneta,Cuautitlan,2026-03-09,12:00,4,7370,2800,0,10170,7370,2800,mar
E001568,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-09,12:00,3,12000,0,0,12000,12000,0,mar
E001569,Albornos,HEB,Torthon,Cuautitlan,2026-03-09,12:00,6,8800,4400,0,13200,8800,4400,mar
E001570,Propios,Towell,Propios,Towell,2026-03-09,17:00,7,1,0,0,0,1,0,mar
E001572,Albornos,GUADALUPE Salloum,Torton,Centro CDM,2026-03-10,09:00,1,9300,8800,0,18100,9300,8800,mar
E001573,EA,Walmart,Camioneta,Cuautitlan,2026-03-10,10:00,2,7700,2400,0,10100,7700,2400,mar
E001574,EA,Walmart,Camioneta,Cuautitlan,2026-03-10,13:00,3,8000,3500,0,11500,8000,3500,mar
E001575,Albornos,Walmart,Camioneta,Chalco,2026-03-10,15:00,4,7370,3500,0,10870,7370,3500,mar
E001576,Gonzalez,Sears,Trailer,Silao,2026-03-10,17:00,5,29000,5500,0,34500,29000,5500,mar
E001577,Gonzalez,Sears,Trailer,Vallejo,2026-03-10,17:00,6,15000,5500,0,20500,15000,5500,mar
E001578,Albornos,OPERADORA FUTURAMA,Camioneta,Iztapalapa,2026-03-11,09:00,1,7370,2200,0,9570,7370,2200,mar
E001579,Albornos,Suburbia,Camioneta,Jilotepec,2026-03-11,09:00,1,8000,0,0,8000,8000,0,mar
E001580,Albornos,TupperWare,Camioneta,Toluca,2026-03-11,09:00,1,13000,3300,0,16300,13000,3300,mar
E001581,EA,Walmart,Camioneta,Sta Barbar,2026-03-11,09:00,1,8000,3500,0,11500,8000,3500,mar
E001583,EA,Walmart,Camioneta,Sta Barbar,2026-03-11,09:00,1,7370,2500,0,9870,7370,2500,mar
E001584,Albornos,Walmart,Camioneta,Chalco,2026-03-11,09:00,1,7370,2500,0,9870,7370,2500,mar
E001585,Albornos,Walmart,Camioneta,Sta Barbar,2026-03-11,09:00,1,7370,2500,0,9870,7370,2500,mar
E001586,Gonzalez,Higienica Textil,Torton,Naucalpan,2026-03-11,08:00,1,9500,4400,0,13900,9500,4400,mar
E001588,EA,Walmart,Camioneta,Cuautitlan,2026-03-11,14:00,5,8000,3500,0,11500,8000,3500,mar
E001589,Express,Varios,Camioneta,Puebla,2026-03-11,12:00,2,6000,3000,0,9000,6000,3000,mar
E001590,Albornos,Soriana,Camioneta,Tultitlan,2026-03-12,12:00,2,7370,2200,0,9570,7370,2200,mar
E001591,Propios,Towell,Propios,Towell,2026-03-12,11:30,1,1,0,0,0,1,0,mar
E001592,Albornos,Parisina,Torthon,Toluca,2026-03-13,11:30,2,13200,4400,0,17600,13200,4400,mar
E001593,Albornos,City Fresko,Camioneta,Vallejo,2026-03-13,09:00,1,7370,0,0,7370,7370,0,mar
E001594,EA,Walmart,Camioneta,Cuautitlan,2026-03-13,13:00,3,8000,3500,0,11500,8000,3500,mar
E001595,Propios,Towell,Propios,Towell,2026-03-13,15:00,4,1,0,0,0,1,0,mar
E001596,EA,Clientes Varios,Camioneta,Chimalhuac,2026-03-13,15:00,4,4000,0,0,4000,4000,0,mar
E001597,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-14,08:00,1,12000,0,0,12000,12000,0,mar
E001599,Gonzalez,Walmart,Trailer,Cuautitlan,2026-03-14,16:00,4,15000,4200,0,19200,15000,4200,mar
E001600,Albornos,DSW,Camioneta,Tultitlan,2026-03-14,10:00,3,7370,0,0,7370,7370,0,mar
E001601,Albornos,Walmart,Torton,Chalco,2026-03-17,15:00,2,8800,3500,0,12300,8800,3500,mar
E001602,Gonzalez,Chedraui,Trailer,Zumpango,2026-03-14,15:00,3,12000,0,0,12000,12000,0,mar
E001603,EA,Walmart,Camioneta,Cuautitlan,2026-03-17,15:30,3,8000,3500,0,11500,8000,3500,mar
E001604,EA,Walmart,Camioneta,Cuautitlan,2026-03-17,08:00,1,8000,2500,0,10500,8000,2500,mar
E001606,Gonzalez,Soriana,Trailer,Queretaro,2026-03-18,08:00,1,17000,0,0,17000,17000,0,mar
E001607,EA,WALMART,CAMIONETA,CUAUTITLAN,2026-03-18,17:00,7,7800,0,0,7800,7800,0,mar
E001608,EA,WALMART,CAMIONETA,CUAUTITLAN,2026-03-18,17:00,6,7800,0,0,7800,7800,0,mar
E001609,EA,WALMART,CAMIONETA,CUAUTITLAN,2026-03-18,15:00,5,7800,0,0,7800,7800,0,mar
E001610,Albornos,WALMART,CAMIONETA,STA BARBAR,2026-03-18,14:00,4,7700,0,0,7700,7700,0,mar
E001611,Albornos,WALMART,CAMIONETA,CHALCO,2026-03-18,13:00,3,7700,0,0,7700,7700,0,mar
E001615,Express,RAYA DOM,Camioneta,LOCAL,2026-03-18,14:00,8,6000,5000,0,11000,6000,5000,mar
E001616,Towell,LOCAL,CAMIONETA,PUEBLA,2026-03-17,11:00,4,1,0,0,0,1,0,mar
E001617,ALBORNOS,LIVERPOOL,CAMIONETA,JILOTEPEC,2026-03-19,13:00,3,11000,0,0,11000,11000,0,mar
